n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
100000,-50.537109375,362.85400390625,-25.81787109375,0.25,-0.33203125,2.44287109375
100001,-55.84716796875,352.783203125,-36.0107421875,0.24951171875,-0.2705078125,2.5166015625
100002,-60.302734375,341.552734375,-44.921875,0.306640625,-0.2099609375,2.68115234375
100003,-58.41064453125,330.01708984375,-52.24609375,0.32177734375,-0.140625,2.85791015625
100004,-55.11474609375,322.08251953125,-58.7158203125,0.29638671875,-0.07958984375,2.98193359375
100005,-51.08642578125,321.2890625,-63.5986328125,0.25927734375,-0.046875,3.05908203125
100006,-45.95947265625,329.16259765625,-67.32177734375,0.2080078125,-0.0322265625,3.11474609375
100007,-41.56494140625,342.71240234375,-69.03076171875,0.19873046875,-0.0224609375,3.173828125
100008,-38.0859375,359.2529296875,-69.2138671875,0.26171875,-0.02099609375,3.23779296875
100009,-37.109375,373.47412109375,-66.7724609375,0.3740234375,-0.0263671875,3.31005859375
100010,-39.00146484375,385.25390625,-60.60791015625,0.51611328125,-0.0556640625,3.35400390625
100011,-42.8466796875,391.845703125,-53.77197265625,0.72998046875,-0.11279296875,3.38916015625
100012,-46.93603515625,394.71435546875,-44.189453125,0.97119140625,-0.1845703125,3.40283203125
100013,-50.4150390625,393.49365234375,-33.935546875,1.203125,-0.2734375,3.369140625
100014,-55.72509765625,390.31982421875,-22.64404296875,1.47705078125,-0.38134765625,3.2568359375
100015,-66.162109375,387.451171875,-12.51220703125,1.72119140625,-0.48779296875,3.09765625
100016,-81.54296875,382.75146484375,-1.5869140625,1.96630859375,-0.54931640625,2.88720703125
100017,-106.99462890625,375.8544921875,9.3994140625,2.138671875,-0.49755859375,2.693359375
100018,-158.99658203125,363.525390625,21.6064453125,2.14453125,-0.30615234375,2.64208984375
100019,-204.89501953125,351.25732421875,34.66796875,2.39892578125,0.095703125,2.53271484375
100020,-227.294921875,335.14404296875,51.025390625,2.6376953125,0.55078125,2.4521484375
100021,-219.90966796875,317.7490234375,70.556640625,2.9501953125,1.06396484375,2.30712890625
100022,-183.837890625,299.1943359375,89.111328125,3.22412109375,1.3828125,2.1806640625
100023,-121.15478515625,276.79443359375,105.04150390625,3.50927734375,1.486328125,2.01806640625
