,PVC
0,209
1,853
2,1378
3,1579
4,2058
5,2242
6,2747
7,2930
8,3411
9,3606
10,4262
11,4944
12,5568
13,6105
14,6304
15,6941
16,8317
17,9087
18,9824
19,10595
20,11324
21,12055
22,14619
23,15218
24,16422
25,17088
26,19092
27,19725
28,20453
29,21104
30,21728
31,22492
32,23128
33,23786
34,24395
35,24563
36,25231
37,25874
38,26502
39,27118
40,27844
41,28013
42,28505
43,28670
44,29344
45,30598
46,30761
47,31248
48,31439
49,32076
50,34123
51,34772
52,35384
53,36024
54,36815
55,38204
56,38720
57,38892
58,39550
59,40183
60,40719
61,40899
62,41416
63,41593
64,42090
65,42282
66,42940
67,43441
68,43620
69,44260
70,44920
71,45598
72,46211
73,46866
74,47510
75,48130
76,48752
77,49412
78,50046
79,50517
80,50676
81,51204
82,51391
83,51902
84,52083
85,52681
86,53372
87,54002
88,54634
89,55273
90,55952
91,56454
92,56628
93,57300
94,57933
95,58608
96,59222
97,59883
98,60519
99,61159
100,61785
101,62481
102,63116
103,63750
104,64562
105,65216
106,66589
107,67331
108,68719
109,69347
110,69962
111,70604
112,71245
113,71868
114,72486
115,73134
116,73740
117,74339
118,74969
119,75607
120,76964
121,77605
122,78232
123,79468
124,79639
125,80282
126,80898
127,81674
128,82435
129,83167
130,84553
131,85166
132,86591
133,87069
134,87225
135,87865
136,88487
137,89124
138,89719
139,90374
140,91002
141,92446
142,93085
143,93695
144,94318
145,95095
146,95715
147,96335
148,97162
149,97651
150,97812
151,98297
152,98477
153,99111
154,99735
155,100332
156,100977
157,101610
158,102238
159,102862
160,103660
161,104287
162,104934
163,105577
164,105742
165,106240
166,106400
167,107015
168,108307
169,108478
170,108952
171,109125
172,109815
173,110441
174,111044
175,111693
176,112342
177,112977
178,113590
179,114254
180,114888
181,116194
182,117441
183,118106
184,119511
185,120148
186,120798
187,121542
188,122314
189,123097
190,123726
191,124469
192,125263
193,127362
194,128103
195,128870
196,130239
197,130971
198,131734
199,135457
200,136102
201,136736
202,137390
203,138062
204,138560
205,139412
206,140106
207,140917
208,141360
209,142231
210,142674
211,143477
212,144347
213,145026
214,145668
215,146546
216,147219
217,147875
218,148051
219,148753
220,149419
221,150050
222,150739
223,150928
224,151460
225,152337
226,152882
227,153077
228,153724
229,154374
230,154914
231,155103
232,155785
233,156411
234,157089
235,157778
236,158445
237,159113
238,159656
239,159832
240,160498
241,161195
242,161882
243,162533
244,163202
245,163925
246,164573
247,165211
248,166541
249,166739
250,167246
251,167429
252,168009
253,168199
254,168717
255,168898
256,169403
257,169587
258,170129
259,170330
260,170855
261,171036
262,171541
263,171720
264,172249
265,172430
266,172952
267,173140
268,173642
269,173834
270,174535
271,175192
272,175698
273,175870
274,176397
275,176588
276,177273
277,177757
278,177925
279,178455
280,178643
281,179165
282,179345
283,180004
284,180508
285,180693
286,181247
287,181422
288,181942
289,182118
290,182668
291,182853
292,183405
293,183585
294,184104
295,184273
296,184779
297,184972
298,185500
299,185674
300,186174
301,186339
302,186841
303,187018
304,187573
305,187745
306,188418
307,189051
308,189599
309,189765
310,190298
311,190467
312,190956
313,191130
314,191804
315,192470
316,192989
317,193148
318,193674
319,193846
320,194357
321,194532
322,195033
323,195202
324,195716
325,195888
326,196542
327,197918
328,198454
329,198628
330,199146
331,199313
332,199964
333,200490
334,200668
335,201198
336,201360
337,201868
338,202041
339,202746
340,203388
341,204047
342,204569
343,204749
344,205408
345,205895
346,206055
347,206590
348,206771
349,207278
350,207445
351,208104
352,208755
353,209432
354,209947
355,210128
356,210780
357,211474
358,212140
359,212779
360,213486
361,214148
362,214644
363,214800
364,215310
365,215499
366,216149
367,216783
368,217451
369,218116
370,218766
371,219420
372,220091
373,220723
374,221359
375,222015
376,222656
377,223287
378,223949
379,225147
380,225307
381,225814
382,225993
383,228947
384,229591
385,230226
386,230894
387,231697
388,232372
389,233790
390,234433
391,235093
392,235773
393,236390
394,237066
395,237717
396,238238
397,238401
398,239075
399,239739
400,240369
401,241029
402,241696
403,242322
404,242948
405,243649
406,244288
407,244931
408,245616
409,246277
410,246916
411,247557
412,248205
413,248840
414,249454
415,250108
416,250623
417,250791
418,251419
419,252071
420,252739
421,253242
422,253407
423,254069
424,254759
425,255412
426,256060
427,256768
428,257283
429,257462
430,258096
431,258638
432,258827
433,259515
434,260141
435,260833
436,261517
437,262173
438,262839
439,263525
440,264184
441,264688
442,264876
443,265410
444,265591
445,266251
446,266768
447,266920
448,267470
449,267645
450,268312
451,268976
452,269684
453,270370
454,271014
455,271713
456,272233
457,272397
458,272916
459,273085
460,273604
461,273781
462,274491
463,275139
464,275804
465,276467
466,276980
467,277157
468,277806
469,278516
470,279014
471,279174
472,279820
473,280348
474,280529
475,281050
476,281224
477,281855
478,282537
479,283053
480,283230
481,283734
482,283890
483,284569
484,285235
485,285894
486,286561
487,287224
488,287867
489,288356
490,288539
491,289083
492,289254
493,289891
494,290535
495,291054
496,291237
497,291911
498,292524
499,293205
500,293851
501,294529
502,295177
503,295844
504,296507
505,297160
506,297827
507,298492
508,298988
509,299148
510,299686
511,299848
512,300501
513,301151
514,301810
515,302457
516,303124
517,303796
518,304458
519,305150
520,305790
521,306324
522,306504
523,307015
524,307195
525,307854
526,308547
527,309242
528,309885
529,310595
530,311276
531,311926
532,312605
533,313282
534,313914
535,314587
536,315259
537,315800
538,315959
539,316652
540,318892
541,319581
542,320373
543,321850
544,322644
545,323484
546,324007
547,324182
548,324837
549,325688
550,326378
551,327007
552,327706
553,328554
554,329197
555,329875
556,330575
557,331232
558,331960
559,332190
560,332702
561,332893
562,333413
563,333583
564,334301
565,334968
566,335176
567,335710
568,336416
569,336617
570,337141
571,337820
572,338022
573,338566
574,338755
575,339293
576,340144
577,340678
578,340847
579,341406
580,342293
581,342974
582,343812
583,345185
584,345377
585,345910
586,346089
587,346614
588,346792
589,347489
590,347999
591,348176
592,348697
593,348894
594,349438
595,349629
596,350166
597,350852
598,351605
599,352344
600,352838
601,353000
602,353563
603,353779
604,354664
605,355163
606,355369
607,355942
608,357339
609,357895
610,358065
611,358613
612,358798
613,359441
614,359959
615,360158
616,360686
617,361353
618,362074
619,362806
620,363511
621,364362
622,365049
623,365755
624,365930
625,366728
626,366931
627,367715
628,368219
629,368415
630,368966
631,369819
632,370334
633,370528
634,371051
635,371285
636,371952
637,372653
638,373396
639,374133
640,374824
641,375551
642,376244
643,376943
644,377108
645,377909
646,378140
647,378894
648,379416
649,379604
650,380302
651,381118
652,381820
653,382370
654,383065
655,383262
656,383993
657,384739
658,385434
659,385619
660,386399
661,386997
662,387680
663,388401
664,389135
665,389308
666,389920
667,390647
668,391401
669,392111
670,392290
671,392967
672,393656
673,394384
674,395120
675,395856
676,396574
677,397311
678,398058
679,398748
680,399482
681,400182
682,400915
683,401641
684,401820
685,402367
686,403041
687,403768
688,404457
689,404644
690,405270
691,405842
692,406548
693,407230
694,408010
695,408717
696,409403
697,410134
698,410820
699,411505
700,412215
701,412904
702,413585
703,414306
704,414989
705,415689
706,416426
707,417108
708,417793
709,418530
710,419234
711,419920
712,420636
713,421328
714,422044
715,439867
716,440508
717,442524
718,445197
719,448356
720,448850
721,450829
722,451503
723,452176
724,452854
725,453533
726,455639
727,456255
728,456439
729,456897
730,459797
731,460496
732,462412
733,463684
734,464408
735,471633
736,472323
737,472511
738,473861
739,474349
740,475054
741,475534
742,476147
743,477474
744,477632
745,478116
746,480125
747,480593
748,481897
749,482377
750,483676
751,484334
752,484529
753,484982
754,485656
755,486305
756,486924
757,487422
758,492533
759,493197
760,493846
761,494356
762,495029
763,496309
764,496832
765,497525
766,497709
767,498195
768,498864
