,R
0,220
1,442
2,603
3,924
4,1241
5,1430
6,1804
7,2064
8,2356
9,2520
10,2825
11,3064
12,3525
13,3798
14,4128
15,4489
16,4838
17,5092
18,5355
19,5537
20,5848
21,6099
22,6351
23,6512
24,6879
25,7215
26,7512
27,7689
28,8071
29,8301
30,8546
31,8816
32,9246
33,9514
34,9785
35,10103
36,10374
37,10641
38,10816
39,11125
40,11383
41,11679
42,11852
43,12147
44,12390
45,12742
46,13026
47,13205
48,13496
49,13737
50,13998
51,14244
52,14542
53,14802
54,14967
55,15334
56,15566
57,15834
58,16085
59,16538
60,16926
61,17197
62,17428
63,17682
64,17910
65,18205
66,18464
67,18758
68,19071
69,19266
70,19638
71,19868
72,20147
73,20294
74,20652
75,20911
76,21242
77,21489
78,21756
79,21979
80,22236
81,22399
82,22730
83,22992
84,23327
85,23765
86,24104
87,24360
88,24601
89,24879
90,25197
91,25381
92,25700
93,25948
94,26181
95,26342
96,26620
97,26868
98,27145
99,27311
100,27691
101,27957
102,28185
103,28413
104,28567
105,29058
106,29323
107,29630
108,29948
109,30121
110,30427
111,30660
112,30878
113,31123
114,31547
115,31793
116,32160
117,32435
118,32613
119,32991
120,33260
121,33431
122,33748
123,34011
124,34277
125,34519
126,34677
127,34968
128,35227
129,35670
130,35929
131,36200
132,36391
133,36768
134,37000
135,37242
136,37403
137,37849
138,38099
139,38422
140,38691
141,38941
142,39244
143,39559
144,39718
145,40016
146,40263
147,40506
148,40683
149,41018
150,41342
151,41566
152,41780
153,41951
154,42333
155,42653
156,42827
157,43127
158,43363
159,43589
160,43806
161,44042
162,44336
163,44509
164,44840
165,45112
166,45295
167,45617
168,45863
169,46152
170,46315
171,46634
172,46905
173,47146
174,47396
175,47560
176,47866
177,48132
178,48304
179,48568
180,48847
181,49155
182,49335
183,49625
184,49847
185,50067
186,50228
187,50566
188,51056
189,51377
190,51545
191,51842
192,52133
193,52302
194,52598
195,52870
196,53112
197,53458
198,53729
199,53981
200,54253
201,54619
202,54866
203,55103
204,55277
205,55621
206,55868
207,56143
208,56356
209,56648
210,56893
211,57350
212,57610
213,57841
214,58019
215,58342
216,58571
217,58809
218,58969
219,59261
220,59495
221,59775
222,60037
223,60456
224,60691
225,60938
226,61096
227,61411
228,61723
229,61896
230,62351
231,62637
232,62801
233,63125
234,63363
235,63592
236,63841
237,64012
238,64300
239,64538
240,64768
241,64925
242,65242
243,65468
244,65720
245,65890
246,66287
247,66742
248,67044
249,67207
250,67512
251,67760
252,68036
253,68212
254,68504
255,68983
256,69314
257,69557
258,70002
259,70324
260,70559
261,70893
262,71191
263,71358
264,71696
265,72012
266,72292
267,72577
268,72757
269,73108
270,73343
271,73594
272,73763
273,74090
274,74610
275,74893
276,75063
277,75358
278,75599
279,75824
280,76048
281,76303
282,76561
283,76759
284,77117
285,77396
286,77676
287,77849
288,78108
289,78321
290,78560
291,78734
292,79056
293,79305
294,79674
295,79941
296,80116
297,80433
298,80653
299,80882
300,81196
301,81370
302,81716
303,82046
304,82209
305,82530
306,82765
307,82986
308,83241
309,83412
310,83743
311,83965
312,84264
313,84562
314,84717
315,85052
316,85298
317,85551
318,85730
319,86034
320,86280
321,86509
322,86671
323,86964
324,87219
325,87569
326,87749
327,88108
328,88337
329,88596
330,88758
331,89169
332,89342
333,89668
334,89923
335,90340
336,90587
337,90818
338,91068
339,91290
340,91501
341,91725
342,91965
343,92249
344,92511
345,92678
346,92975
347,93193
348,93414
349,93591
350,93983
351,94235
352,94479
353,94646
354,94974
355,95203
356,95455
357,95722
358,95958
359,96189
360,96364
361,96714
362,96946
363,97218
364,97505
365,97667
366,97997
367,98230
368,98445
369,98684
370,98871
371,99167
372,99371
373,99660
374,99908
375,100128
376,100302
377,100602
378,100888
379,101062
380,101422
381,101666
382,101898
383,102113
384,102291
385,102592
386,102867
387,103052
388,103353
389,103612
390,103890
391,104054
392,104369
393,104650
394,104817
395,105181
396,105508
397,105678
398,106100
399,106337
400,106547
